Data Capture Template,,,,,
Sponsor Name,Big Bank,Pod URL,bigbank.symphony.com,,
Sponsor Approved Contacts,"John Smith
Jane Doe",Email address,"john.smith@bigbank.com
Jane.doe@bigbank.com",Phone Number,"+1 234 567 8901
+44 20 7654 3210"
Sponsored Company,Little Buy Side Inc.,Sponsored Company Aware?,Y/N,,
Company Display Name,Little Buy Side,Email Domain,littlebuyside.com,,
Primary Location (for Pod),US,User Location(s),"NY
London",,
Compliance Officer Details,Davey Jones,Email address,davey.jones@littlebuyside.com,Phone Number,+1 234 999 0000
Data Capture Frequency and type,Weekly - XML,Accessed by,Davey Jones,Job Title,Compliance Officer
Support Contact Details,Davey Jones,Email address,davey.jones@littlebuyside.com,Phone Number,+1 234 999 0000
User information,,,,,
Email address (es),Phone Number (s),Contact Name (s),Department,Job Title,
"joe.trader@littlebuyside.com
james.bond@littlebuyside.com
agatha.raisin@littlebuyside.com","+1 234 987 6543
+44 20 7654 1234
+1 234 987 3456","Joe Trader
James Bond
Agatha Raisin","Multi-Asset Solutions
Operations
Private Equity","Director
CAO
PE Associate",
,,,,,
Notes: ,,,,,
Pod locations are Americas/EMEA/APAC,,,,,
Pod names are:,Americas: cp1.symphony.com,,,,
,EMEA: cp2.symphony.com,,,,
,APAC: cp3.symphony.com,,,,
