Legal Name,Firstname,Lastname,Email address,Phone Number
Little Buy Side,Joe,Trader,joe.trader@littlebuyside.com,+1 234 987 6543
Little Buy Side,James,Bond,james.bond@littlebuyside.com,+44 20 7654 1234
Little Buy Side,Agatha,Raisin,agatha.raisin@littlebuyside.com,+1 234 987 3456
,,,,
,,,,
NOTES:,,,,
This data forms the bare minimum that we can accept.  In an ideal world we require:,,,,
Compliance Officer contact and details - this can be captured later; a legal document needs to be signed to confirm the contact and provide them with access to content,,,,
,,,,
Ideally file should be in CSV format ,,,,
